rp,CETELI_WIFI,CETELI_TREINAMENTOS,CETELI_P&D,VISITANTE_CETELI,eduroam,wifi-zone-ufam-1,dlink-9A00,TPV,BRITO_AP,S80
1,-70.0,-70.0,-70.0,-70.0,-69.0,-69.0,-100.0,-77.0,-100.0,-84.0
1,-69.0,-69.0,-69.0,-69.0,-69.0,-70.0,-79.0,-77.0,-82.0,-100.0
1,-70.0,-69.0,-69.0,-69.0,-69.0,-69.0,-70.0,-77.0,-100.0,-82.0
1,-70.0,-72.0,-70.0,-70.0,-69.0,-69.0,-69.0,-78.0,-100.0,-100.0
1,-70.0,-69.0,-70.0,-70.0,-70.0,-69.0,-69.0,-76.0,-100.0,-100.0
1,-69.0,-70.0,-69.0,-69.0,-68.0,-68.0,-79.0,-76.0,-100.0,-100.0
1,-74.0,-74.0,-74.0,-74.0,-69.0,-69.0,-100.0,-78.0,-100.0,-100.0
1,-68.0,-68.0,-69.0,-68.0,-69.0,-69.0,-70.0,-78.0,-100.0,-100.0
1,-70.0,-69.0,-69.0,-69.0,-69.0,-69.0,-70.0,-77.0,-100.0,-100.0
1,-71.0,-71.0,-71.0,-71.0,-69.0,-69.0,-69.0,-76.0,-100.0,-100.0
1,-72.0,-72.0,-71.0,-72.0,-70.0,-69.0,-67.0,-78.0,-100.0,-79.0
1,-68.0,-68.0,-68.0,-67.0,-69.0,-69.0,-100.0,-100.0,-88.0,-83.0
1,-71.0,-71.0,-71.0,-71.0,-69.0,-69.0,-100.0,-78.0,-85.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-69.0,-69.0,-75.0,-77.0,-100.0,-100.0
1,-69.0,-70.0,-70.0,-69.0,-69.0,-69.0,-79.0,-77.0,-100.0,-84.0
1,-70.0,-70.0,-69.0,-70.0,-70.0,-70.0,-79.0,-73.0,-100.0,-100.0
1,-66.0,-66.0,-67.0,-66.0,-69.0,-69.0,-77.0,-76.0,-100.0,-100.0
1,-70.0,-69.0,-70.0,-69.0,-69.0,-69.0,-77.0,-76.0,-100.0,-100.0
1,-72.0,-72.0,-72.0,-69.0,-68.0,-69.0,-69.0,-77.0,-100.0,-83.0
1,-70.0,-70.0,-70.0,-70.0,-67.0,-67.0,-70.0,-76.0,-100.0,-100.0
1,-69.0,-68.0,-69.0,-68.0,-69.0,-69.0,-78.0,-76.0,-100.0,-83.0
1,-71.0,-71.0,-71.0,-71.0,-70.0,-70.0,-78.0,-77.0,-100.0,-100.0
1,-69.0,-70.0,-70.0,-70.0,-69.0,-69.0,-69.0,-77.0,-100.0,-100.0
1,-71.0,-72.0,-71.0,-70.0,-67.0,-67.0,-77.0,-76.0,-82.0,-100.0
1,-66.0,-66.0,-66.0,-66.0,-69.0,-69.0,-79.0,-78.0,-100.0,-100.0
1,-69.0,-69.0,-70.0,-69.0,-66.0,-66.0,-70.0,-77.0,-100.0,-78.0
1,-70.0,-70.0,-69.0,-70.0,-68.0,-68.0,-100.0,-77.0,-100.0,-83.0
1,-69.0,-69.0,-70.0,-69.0,-70.0,-69.0,-70.0,-77.0,-100.0,-100.0
1,-69.0,-69.0,-69.0,-69.0,-70.0,-70.0,-78.0,-78.0,-100.0,-83.0
1,-70.0,-69.0,-69.0,-69.0,-70.0,-70.0,-70.0,-77.0,-100.0,-83.0
1,-69.0,-69.0,-69.0,-69.0,-70.0,-70.0,-77.0,-77.0,-100.0,-83.0
1,-70.0,-70.0,-71.0,-69.0,-70.0,-70.0,-79.0,-78.0,-100.0,-100.0
1,-69.0,-70.0,-70.0,-70.0,-70.0,-69.0,-79.0,-78.0,-100.0,-100.0
1,-70.0,-70.0,-69.0,-69.0,-69.0,-69.0,-68.0,-77.0,-100.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-70.0,-69.0,-100.0,-77.0,-83.0,-100.0
1,-72.0,-70.0,-70.0,-70.0,-70.0,-70.0,-100.0,-73.0,-84.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-69.0,-70.0,-70.0,-77.0,-100.0,-100.0
1,-69.0,-69.0,-69.0,-69.0,-70.0,-70.0,-100.0,-77.0,-100.0,-82.0
1,-69.0,-69.0,-69.0,-70.0,-70.0,-70.0,-100.0,-77.0,-82.0,-83.0
1,-70.0,-70.0,-72.0,-70.0,-70.0,-69.0,-100.0,-77.0,-100.0,-83.0
1,-70.0,-70.0,-72.0,-70.0,-70.0,-70.0,-100.0,-78.0,-100.0,-100.0
1,-73.0,-70.0,-70.0,-70.0,-70.0,-70.0,-79.0,-77.0,-100.0,-100.0
1,-70.0,-69.0,-70.0,-70.0,-70.0,-70.0,-100.0,-77.0,-100.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-70.0,-69.0,-100.0,-74.0,-100.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-74.0,-77.0,-100.0,-100.0
